atmId,code_str,date,disbursement_amnt,money_fulfilled
3,S1A95015,2016-01-01,100,100000
3,S1A95015,2016-01-02,110,0
3,S1A95015,2016-01-03,520,0
3,S1A95015,2016-01-04,3510,0
3,S1A95015,2016-01-05,8000,0
3,S1A95015,2016-01-06,190,0
3,S1A95015,2016-01-07,8500,0
3,S1A95015,2016-01-08,6510,0
3,S1A95015,2016-01-09,690,0
3,S1A95015,2016-01-10,590,0
3,S1A95015,2016-01-11,8230,0
3,S1A95015,2016-01-12,5140,0
3,S1A95015,2016-01-13,7290,0
3,S1A95015,2016-01-14,5820,0
3,S1A95015,2016-01-15,6350,0
3,S1A95015,2016-01-16,640,0
3,S1A95015,2016-01-18,5110,0
3,S1A95015,2016-01-19,4580,0
3,S1A95015,2016-01-20,3770,0
3,S1A95015,2016-01-21,2070,0
3,S1A95015,2016-01-22,5780,0
3,S1A95015,2016-01-23,840,0
3,S1A95015,2016-01-24,20,0
3,S1A95015,2016-01-25,4390,0
3,S1A95015,2016-01-26,5990,94740
3,S1A95015,2016-01-27,12680,0
3,S1A95015,2016-01-28,6370,0
3,S1A95015,2016-01-29,8340,0
3,S1A95015,2016-01-30,1410,0
3,S1A95015,2016-01-31,180,0
3,S1A95015,2016-02-01,6520,0
3,S1A95015,2016-02-02,4310,0
3,S1A95015,2016-02-03,6490,0
3,S1A95015,2016-02-04,3720,0
3,S1A95015,2016-02-05,5720,0
3,S1A95015,2016-02-06,350,0
3,S1A95015,2016-02-07,20,0
3,S1A95015,2016-02-08,3780,0
3,S1A95015,2016-02-09,2740,0
3,S1A95015,2016-02-10,3330,0
3,S1A95015,2016-02-11,5340,0
3,S1A95015,2016-02-12,8870,0
3,S1A95015,2016-02-13,660,0
3,S1A95015,2016-02-14,280,0
3,S1A95015,2016-02-15,5610,0
3,S1A95015,2016-02-16,5470,0
3,S1A95015,2016-02-17,4990,97180
3,S1A95015,2016-02-18,3800,0
3,S1A95015,2016-02-19,3770,0
3,S1A95015,2016-02-20,40,0
3,S1A95015,2016-02-21,240,0
3,S1A95015,2016-02-22,10530,0
3,S1A95015,2016-02-23,4800,0
3,S1A95015,2016-02-24,3650,0
3,S1A95015,2016-02-25,5010,0
3,S1A95015,2016-02-26,10750,0
3,S1A95015,2016-02-27,940,0
3,S1A95015,2016-02-28,120,0
3,S1A95015,2016-02-29,8590,0
3,S1A95015,2016-03-01,7750,0
3,S1A95015,2016-03-02,4770,0
3,S1A95015,2016-03-03,3590,0
3,S1A95015,2016-03-04,3330,0
3,S1A95015,2016-03-05,1180,0
3,S1A95015,2016-03-06,560,0
3,S1A95015,2016-03-07,6090,0
3,S1A95015,2016-03-08,5840,0
3,S1A95015,2016-03-09,3070,0
3,S1A95015,2016-03-10,4900,93320
3,S1A95015,2016-03-11,8990,0
3,S1A95015,2016-03-12,160,0
3,S1A95015,2016-03-13,40,0
3,S1A95015,2016-03-14,100,0
3,S1A95015,2016-03-15,7740,0
3,S1A95015,2016-03-16,5140,0
3,S1A95015,2016-03-17,4770,0
3,S1A95015,2016-03-18,200,0
3,S1A95015,2016-03-19,510,0
3,S1A95015,2016-03-20,430,0
3,S1A95015,2016-03-21,4960,0
3,S1A95015,2016-03-22,3690,0
3,S1A95015,2016-03-23,5500,0
3,S1A95015,2016-03-24,7560,0
3,S1A95015,2016-03-25,640,0
3,S1A95015,2016-03-26,2100,0
3,S1A95015,2016-03-28,6820,0
3,S1A95015,2016-03-29,4740,0
3,S1A95015,2016-03-30,4080,0
3,S1A95015,2016-03-31,7300,0
3,S1A95015,2016-04-01,8420,0
3,S1A95015,2016-04-02,560,0
3,S1A95015,2016-04-03,40,0
3,S1A95015,2016-04-04,6450,0
3,S1A95015,2016-04-05,5230,96170
3,S1A95015,2016-04-06,4860,0
3,S1A95015,2016-04-07,5600,0
3,S1A95015,2016-04-08,5570,0
3,S1A95015,2016-04-09,980,0
3,S1A95015,2016-04-10,620,0
3,S1A95015,2016-04-11,6990,0
3,S1A95015,2016-04-12,3900,0
3,S1A95015,2016-04-13,6200,0
3,S1A95015,2016-04-14,5640,0
3,S1A95015,2016-04-15,4200,0
3,S1A95015,2016-04-16,750,0
3,S1A95015,2016-04-17,560,0
3,S1A95015,2016-04-18,7500,0
3,S1A95015,2016-04-19,6700,0
3,S1A95015,2016-04-20,4840,0
3,S1A95015,2016-04-21,5770,0
3,S1A95015,2016-04-22,7940,0
3,S1A95015,2016-04-23,680,0
3,S1A95015,2016-04-24,1010,0
3,S1A95015,2016-04-25,5110,0
3,S1A95015,2016-04-26,8860,94280
3,S1A95015,2016-04-27,7910,0
3,S1A95015,2016-04-28,3820,0
3,S1A95015,2016-04-30,260,0
3,S1A95015,2016-05-02,40,0
3,S1A95015,2016-05-03,100,0
3,S1A95015,2016-05-04,3920,0
3,S1A95015,2016-05-05,3080,0
3,S1A95015,2016-05-06,2390,0
3,S1A95015,2016-05-07,260,0
3,S1A95015,2016-05-08,1010,0
3,S1A95015,2016-05-09,8130,0
3,S1A95015,2016-05-10,6190,0
3,S1A95015,2016-05-11,4430,0
3,S1A95015,2016-05-12,7210,0
3,S1A95015,2016-05-13,8010,0
3,S1A95015,2016-05-14,2360,0
3,S1A95015,2016-05-15,420,0
3,S1A95015,2016-05-16,8480,0
3,S1A95015,2016-05-17,6220,0
3,S1A95015,2016-05-18,4930,0
3,S1A95015,2016-05-19,3850,0
3,S1A95015,2016-05-20,4720,0
3,S1A95015,2016-05-21,40,0
3,S1A95015,2016-05-22,130,0
3,S1A95015,2016-05-23,3700,0
3,S1A95015,2016-05-24,5640,97250
3,S1A95015,2016-05-25,4450,0
3,S1A95015,2016-05-26,6890,0
3,S1A95015,2016-05-27,9070,0
3,S1A95015,2016-05-30,20,0
3,S1A95015,2016-06-03,2740,0
3,S1A95015,2016-06-04,560,0
3,S1A95015,2016-06-05,400,0
3,S1A95015,2016-06-06,2720,0
3,S1A95015,2016-06-07,2340,0
3,S1A95015,2016-06-08,6070,0
3,S1A95015,2016-06-09,4990,0
3,S1A95015,2016-06-10,8840,0
3,S1A95015,2016-06-11,1100,0
3,S1A95015,2016-06-12,80,0
3,S1A95015,2016-06-13,9560,0
3,S1A95015,2016-06-14,5370,0
3,S1A95015,2016-06-15,7210,0
3,S1A95015,2016-06-16,9230,0
3,S1A95015,2016-06-17,6330,0
3,S1A95015,2016-06-22,2850,0
3,S1A95015,2016-06-23,5880,96700
3,S1A95015,2016-06-24,4880,0
3,S1A95015,2016-06-25,380,0
3,S1A95015,2016-06-26,40,0
3,S1A95015,2016-06-27,10240,0
3,S1A95015,2016-06-28,10430,0
3,S1A95015,2016-06-29,9600,0
3,S1A95015,2016-06-30,7180,0
3,S1A95015,2016-07-01,7390,0
3,S1A95015,2016-07-02,20,0
3,S1A95015,2016-07-03,290,0
3,S1A95015,2016-07-04,8740,0
3,S1A95015,2016-07-05,4310,0
3,S1A95015,2016-07-06,3410,0
3,S1A95015,2016-07-07,5290,0
3,S1A95015,2016-07-08,6460,0
3,S1A95015,2016-07-09,940,0
3,S1A95015,2016-07-10,160,0
3,S1A95015,2016-07-11,4510,0
3,S1A95015,2016-07-12,5510,0
3,S1A95015,2016-07-13,6290,96070
3,S1A95015,2016-07-14,5180,0
3,S1A95015,2016-07-15,5390,0
3,S1A95015,2016-07-16,370,0
3,S1A95015,2016-07-18,6180,0
3,S1A95015,2016-07-19,5050,0
3,S1A95015,2016-07-20,1000,0
3,S1A95015,2016-07-21,2340,0
3,S1A95015,2016-07-22,4590,0
3,S1A95015,2016-07-23,40,0
3,S1A95015,2016-07-24,720,0
3,S1A95015,2016-07-25,2850,0
3,S1A95015,2016-07-26,7400,0
3,S1A95015,2016-07-27,7300,0
3,S1A95015,2016-07-28,6890,0
3,S1A95015,2016-07-29,7380,0
3,S1A95015,2016-07-30,470,0
3,S1A95015,2016-07-31,170,0
3,S1A95015,2016-08-01,6150,0
3,S1A95015,2016-08-02,3290,0
3,S1A95015,2016-08-03,4070,0
3,S1A95015,2016-08-04,3160,0
3,S1A95015,2016-08-05,4040,0
3,S1A95015,2016-08-06,900,0
3,S1A95015,2016-08-07,50,0
3,S1A95015,2016-08-08,4180,0
3,S1A95015,2016-08-09,3940,0
3,S1A95015,2016-08-10,960,0
3,S1A95015,2016-08-11,2150,96210
3,S1A95015,2016-08-12,3130,0
3,S1A95015,2016-08-13,300,0
3,S1A95015,2016-08-14,100,0
3,S1A95015,2016-08-15,100,0
3,S1A95015,2016-08-16,700,0
3,S1A95015,2016-08-17,900,0
3,S1A95015,2016-08-18,850,0
3,S1A95015,2016-08-19,1710,0
3,S1A95015,2016-08-22,1670,0
3,S1A95015,2016-08-23,1260,0
3,S1A95015,2016-08-24,1790,0
3,S1A95015,2016-08-25,3790,0
3,S1A95015,2016-08-26,5490,0
3,S1A95015,2016-08-27,1150,0
3,S1A95015,2016-08-28,200,0
3,S1A95015,2016-08-29,3200,0
3,S1A95015,2016-08-30,4690,0
3,S1A95015,2016-08-31,5480,0
3,S1A95015,2016-09-01,6610,0
3,S1A95015,2016-09-02,5660,0
3,S1A95015,2016-09-03,220,0
3,S1A95015,2016-09-05,7380,0
3,S1A95015,2016-09-06,5170,0
3,S1A95015,2016-09-07,5500,0
3,S1A95015,2016-09-08,6200,0
3,S1A95015,2016-09-09,6810,0
3,S1A95015,2016-09-10,200,0
3,S1A95015,2016-09-11,100,0
3,S1A95015,2016-09-12,4650,0
3,S1A95015,2016-09-13,10540,95550
3,S1A95015,2016-09-14,6250,0
3,S1A95015,2016-09-15,7400,0
3,S1A95015,2016-09-16,9690,0
3,S1A95015,2016-09-17,1010,0
3,S1A95015,2016-09-18,40,0
3,S1A95015,2016-09-19,12110,0
3,S1A95015,2016-09-20,9470,0
3,S1A95015,2016-09-21,6700,0
3,S1A95015,2016-09-22,9090,0
3,S1A95015,2016-09-23,8270,0
3,S1A95015,2016-09-24,560,0
3,S1A95015,2016-09-25,460,0
3,S1A95015,2016-09-26,7080,0
3,S1A95015,2016-09-27,10040,0
3,S1A95015,2016-09-28,6350,94520
3,S1A95015,2016-09-29,9870,0
3,S1A95015,2016-09-30,10830,0
3,S1A95015,2016-10-01,230,0
3,S1A95015,2016-10-02,80,0
3,S1A95015,2016-10-03,2510,0
3,S1A95015,2016-10-04,10000,0
3,S1A95015,2016-10-05,9030,0
3,S1A95015,2016-10-06,3780,0
3,S1A95015,2016-10-10,990,0
3,S1A95015,2016-10-11,6960,0
3,S1A95015,2016-10-12,8380,0
3,S1A95015,2016-10-13,16040,0
3,S1A95015,2016-10-14,11370,0
3,S1A95015,2016-10-15,300,0
3,S1A95015,2016-10-16,700,0
3,S1A95015,2016-10-17,7140,98210
3,S1A95015,2016-10-18,8230,0
3,S1A95015,2016-10-19,6800,0
3,S1A95015,2016-10-20,9030,0
3,S1A95015,2016-10-21,4420,0
3,S1A95015,2016-10-22,360,0
3,S1A95015,2016-10-23,80,0
3,S1A95015,2016-10-24,8190,0
3,S1A95015,2016-10-25,9930,0
3,S1A95015,2016-10-26,8490,0
3,S1A95015,2016-10-27,13110,0
3,S1A95015,2016-10-28,500,0
3,S1A95015,2016-10-29,600,0
3,S1A95015,2016-10-30,60,0
3,S1A95015,2016-10-31,11860,0
3,S1A95015,2016-11-01,16190,97850
3,S1A95015,2016-11-02,8160,0
3,S1A95015,2016-11-03,9590,0
3,S1A95015,2016-11-04,7630,0
3,S1A95015,2016-11-05,270,0
3,S1A95015,2016-11-06,70,0
3,S1A95015,2016-11-07,8150,0
3,S1A95015,2016-11-08,10180,0
